Datum;Locatie;Type;Vraag;Antwoord
23-4-2026, 00:42:12;Almelo;regular;"Geven de ouders/verzorgers toestemming voor het invullen van deze vragenlijst?";"Ja"
23-4-2026, 00:42:12;Almelo;regular;"Hoe voelde het om vandaag op bezoek te gaan?";"3 - Gewoon"
23-4-2026, 00:42:12;Almelo;regular;"Hoe vond je de ruimte waar je samen was met je vader/moeder tijdens het bezoek?";"3 - Gewoon"
23-4-2026, 00:42:12;Almelo;regular;"Hoe deden de medewerkers bij de ingang tegen jou?";"4 - Leuk"
23-4-2026, 00:42:12;Almelo;regular;"Hoe vond je de dingen die je tijdens het bezoek kon doen?";"4 - Leuk"
21-4-2026, 17:25:04;Zaanstad;ouder_kind;"Geven de ouders/verzorgers toestemming voor het invullen van deze vragenlijst?";"Ja"
21-4-2026, 17:25:04;Zaanstad;ouder_kind;"Hoe voelde het om vandaag op bezoek te gaan?";"Gewoon"
21-4-2026, 17:25:04;Zaanstad;ouder_kind;"Hoe vond je de ruimte waar je samen was met je vader/moeder tijdens het bezoek?";"Gewoon"
21-4-2026, 17:25:04;Zaanstad;ouder_kind;"Hoe deden de medewerkers bij de ingang tegen jou?";"Gewoon"
21-4-2026, 17:25:04;Zaanstad;ouder_kind;"Hoe vond je de dingen die je tijdens het bezoek kon doen?";"Gewoon"
20-4-2026, 15:48:48;Zaanstad;regular;"Geven de ouders/verzorgers toestemming voor het invullen van deze vragenlijst?";"Ja"
20-4-2026, 15:48:48;Zaanstad;regular;"Hoe voelde het om vandaag op bezoek te gaan?";"Niet leuk"
20-4-2026, 15:48:48;Zaanstad;regular;"Hoe vond je de ruimte waar je samen was met je vader/moeder tijdens het bezoek?";"Gewoon"
20-4-2026, 15:48:48;Zaanstad;regular;"Hoe deden de medewerkers bij de ingang tegen jou?";"Gewoon"
20-4-2026, 15:48:48;Zaanstad;regular;"Hoe vond je de dingen die je tijdens het bezoek kon doen?";"Gewoon"
20-4-2026, 15:48:10;Veenhuizen;ouder_kind;"Geven de ouders/verzorgers toestemming voor het invullen van deze vragenlijst?";"Ja"
20-4-2026, 15:48:10;Veenhuizen;ouder_kind;"Hoe voelde het om vandaag op bezoek te gaan?";"Heel leuk"
20-4-2026, 15:48:10;Veenhuizen;ouder_kind;"Hoe vond je de ruimte waar je samen was met je vader/moeder tijdens het bezoek?";"Heel leuk"
20-4-2026, 15:48:10;Veenhuizen;ouder_kind;"Hoe deden de medewerkers bij de ingang tegen jou?";"Heel leuk"
20-4-2026, 15:48:10;Veenhuizen;ouder_kind;"Hoe vond je de dingen die je tijdens het bezoek kon doen?";"Heel leuk"
4-4-2026, 14:57:57;Veenhuizen;ouder_kind;"Geven de ouders/verzorgers toestemming voor het invullen van deze vragenlijst?";"Ja"
4-4-2026, 14:57:57;Veenhuizen;ouder_kind;"Hoe voelde het om vandaag op bezoek te gaan?";"Heel leuk"
4-4-2026, 14:57:57;Veenhuizen;ouder_kind;"Hoe vond je de ruimte waar je samen was met je vader/moeder tijdens het bezoek?";"Heel leuk"
4-4-2026, 14:57:57;Veenhuizen;ouder_kind;"Hoe deden de medewerkers bij de ingang tegen jou?";"Heel leuk"
4-4-2026, 14:57:57;Veenhuizen;ouder_kind;"Hoe vond je de dingen die je tijdens het bezoek kon doen?";"Heel leuk"
4-4-2026, 14:55:23;Veenhuizen;ouder_kind;"Geven de ouders/verzorgers toestemming voor het invullen van deze vragenlijst?";"Ja"
